,url,league_name,Club,Defensive Style,Offensive Style,Domestic Prestige,International Prestige
663,112001,Campeonato Brasileiro Série A ,Am\xc3\xa9rica FC (Minas Gerais),Balanced,Long Ball,2,2
664,111082,Polish T-Mobile Ekstraklasa ,Arka Gdynia,Balanced,Balanced,4,3
665,110394,Argentina Primera División  ,Arsenal de Sarand\xc3\xad,Drop Back,Balanced,3,6
666,1598,Campeonato Brasileiro Série A ,Bahia,Press After Possession Loss,Balanced,4,3
667,1848,Italian Serie B ,Bari,Balanced,Balanced,9,2
668,112510,Polish T-Mobile Ekstraklasa ,Bruk-Bet Termalica Nieciecza,,,4,1
669,666,Portuguese Liga ZON SAGRES ,CD Aves,Balanced,Long Ball,2,1
670,10019,Portuguese Liga ZON SAGRES ,CD Feirense,Balanced,Balanced,2,1
671,112409,Italian Serie B ,Carpi,Drop Back,Fast Build Up,5,1
672,111059,Campeonato Brasileiro Série A ,Cear\xc3\xa1 Sporting Club,Balanced,Long Ball,3,2
673,1813,French Ligue 2 ,Chamois Niortais Football Club,Pressure On Heavy Touch,Possession,3,1
674,111711,Argentina Primera División  ,Club Atl\xc3\xa9tico Hurac\xc3\xa1n,Drop Back,Fast Build Up,7,7
675,1893,Portuguese Liga ZON SAGRES ,Clube Sport Mar\xc3\xadtimo,Balanced,Balanced,6,3
676,422,Rep. Ireland Airtricity League ,Cork City,Balanced,Long Ball,10,2
677,1867,Spanish Segunda División ,C\xc3\xb3rdoba CF,Balanced,Balanced,6,1
678,111721,Colombian Liga Postobón ,C\xc3\xbacuta Deportivo,Drop Back,Fast Build Up,1,1
679,2056,Korean K League Classic ,Daegu FC,Drop Back,Long Ball,3,2
680,1572,Rep. Ireland Airtricity League ,Drogheda United,,,4,1
681,162,German 3. Bundesliga ,FC Energie Cottbus,Pressure On Heavy Touch,Long Ball,4,1
682,1715,Swiss Super League ,FC Thun,Drop Back,Balanced,6,3
683,1463,Norwegian Eliteserien ,FK Haugesund,Press After Possession Loss,Long Ball,4,1
684,111131,Rep. Ireland Airtricity League ,Finn Harps,Drop Back,Long Ball,2,1
685,112115,Korean K League Classic ,Gangwon FC,Balanced,Balanced,2,1
686,111706,Argentina Primera División  ,Godoy Cruz,Press After Possession Loss,Balanced,6,6
687,111042,Campeonato Brasileiro Série A ,Goi\xc3\xa1s,Balanced,Balanced,4,3
688,111779,Chinese Super League ,Henan Jianye FC,Drop Back,Long Ball,4,2
689,698,USA Major League Soccer ,Houston Dynamo,Balanced,Long Ball,6,2
690,1475,Korean K League Classic ,Jeonnam Dragons,Balanced,Balanced,5,2
691,1439,Swedish Allsvenskan ,Kalmar FF,Pressure On Heavy Touch,Balanced,3,1
692,111035,Mexican Liga MX ,Lobos BUAP,Press After Possession Loss,Balanced,1,1
693,112420,Norwegian Eliteserien ,Mj\xc3\xb8ndalen IF,Balanced,Long Ball,1,1
694,435,Swiss Super League ,Neuch\xc3\xa2tel Xamax,Drop Back,Fast Build Up,3,2
695,15019,Spanish Segunda División ,Gimn\xc3\xa0stic de Tarragona,Balanced,Long Ball,5,1
696,101106,Colombian Liga Postobón ,Once Caldas,Press After Possession Loss,Balanced,7,5
697,383,Campeonato Brasileiro Série A ,Palmeiras,,,7,5
698,1754,Scottish Premiership ,Partick Thistle FC,,,5,1
699,1474,Korean K League Classic ,Pohang Steelers,Drop Back,Fast Build Up,7,5
700,110815,Romanian Liga I ,Politehnica Ia\xc5\x9fi,Balanced,Balanced,5,2
701,111065,USA Major League Soccer ,Real Salt Lake,Balanced,Balanced,6,4
702,111273,French Ligue 2 ,Red Star FC,Drop Back,Long Ball,2,1
703,919,Norwegian Eliteserien ,SK Brann,Drop Back,Balanced,7,1
704,2055,Korean K League Classic ,Sangju Sangmu FC,Balanced,Long Ball,2,1
705,112199,Norwegian Eliteserien ,Sarpsborg 08 FF,Balanced,Balanced,5,2
706,563,Rep. Ireland Airtricity League ,Sligo Rovers,Balanced,Possession,5,1
707,2007,Belgian Jupiler Pro League ,Sporting Lokeren,Pressure On Heavy Touch,Balanced,5,1
708,598,Campeonato Brasileiro Série A ,S\xc3\xa3o Paulo,,,9,6
709,110109,Russian Premier League ,Terek Grozny,,,6,3
710,111774,Chinese Super League ,Tianjin TEDA FC,Press After Possession Loss,Long Ball,4,2
711,112448,Japanese J. League Division 1 ,V-Varen Nagasaki,Drop Back,Fast Build Up,3,1
712,110700,German 3. Bundesliga ,VfL Sportfreunde Lotte,Balanced,Long Ball,2,1
713,550,German 3. Bundesliga ,VfR Aalen,Balanced,Long Ball,4,1
714,300,Norwegian Eliteserien ,Viking FK,Press After Possession Loss,Long Ball,3,1
715,346,English League Two ,Yeovil Town,Drop Back,Balanced,2,1
716,110749,Polish T-Mobile Ekstraklasa ,Zag\xc5\x82\xc4\x99bie Lubin,Press After Possession Loss,Possession,5,2
717,113057,Saudi Abdul L. Jameel League ,Al Fayha,Balanced,Long Ball,3,1
718,113186,Japanese J. League Division 1 ,Avispa Fukuoka,,,2,1
719,112934,Colombian Liga Postobón ,Cortulu\xc3\xa1,,,5,1
720,110467,Czech Republic Gambrinus Liga ,1. FC Brno,,,11,4
721,112390,Saudi Abdul L. Jameel League ,Al Fateh,Balanced,Balanced,6,4
722,110234,Russian Premier League ,Amkar Perm,,,3,2
723,110756,Russian Premier League ,Arsenal Tula,,,2,1
724,112119,Campeonato Brasileiro Série A ,Atl\xc3\xa9tico Clube Goianiense,,,2,2
725,112528,Colombian Liga Postobón ,Atl\xc3\xa9tico Huila,Balanced,Balanced,7,4
726,111976,Campeonato Brasileiro Série A ,Ava\xc3\xad FC,Balanced,Long Ball,3,3
727,111707,Argentina Primera División  ,Club Atl\xc3\xa9tico Aldosivi,Drop Back,Long Ball,1,1
728,112934,Colombian Liga Postobón ,Cortulu\xc3\xa1,,,5,1
729,112585,Chilian Campeonato Nacional ,Deportivo \xc3\x91ublense,,,7,3
730,312,Russian Premier League ,Dinamo Moscow,,,6,5
731,112526,Colombian Liga Postobón ,Envigado FC,Drop Back,Balanced,3,1
732,10020,Portuguese Liga ZON SAGRES ,Estoril Praia,,,5,5
733,112096,Saudi Abdul L. Jameel League ,Ettifaq FC,Balanced,Balanced,6,4
734,110233,Russian Premier League ,FC Tom Tomsk,,,4,3
735,2045,Austrian Football Bundesliga ,FC Wacker Innsbruck,Balanced,Long Ball,5,1
736,918,Norwegian Eliteserien ,FK Bod\xc3\xb8/Glimt,Drop Back,Fast Build Up,3,1
737,110911,Italian Serie B ,Foggia,Press After Possession Loss,Balanced,2,1
738,111052,Campeonato Brasileiro Série A ,Fortaleza,Balanced,Balanced,2,1
739,110316,French Ligue 2 ,GFC Ajaccio,Press After Possession Loss,Possession,4,1
740,101024,Turkish Süper Lig ,Gaziantepspor,,,4,4
741,111491,Italian Serie B ,Grosseto,,,5,7
742,112258,Korean K League Classic ,GwangJu FC,,,2,1
743,111705,Swedish Allsvenskan ,IF Brommapojkarna,Balanced,Possession,1,1
744,700,Swedish Allsvenskan ,IF Elfsborg,Press After Possession Loss,Possession,8,1
745,1524,Norwegian Eliteserien ,IK Start,Balanced,Long Ball,3,1
746,110765,Korean K League Classic ,Incheon United FC,Drop Back,Long Ball,4,2
747,112679,Mexican Liga MX ,Jaguares de Chiapas,,,2,1
748,112903,Colombian Liga Postobón ,Jaguares de C\xc3\xb3rdoba,Drop Back,Balanced,4,3
749,1478,Korean K League Classic ,Jeju United FC,Balanced,Possession,6,2
750,101145,Japanese J. League Division 1 ,Kashiwa Reysol,Press After Possession Loss,Possession,7,6
751,112523,Colombian Liga Postobón ,La Equidad,Press After Possession Loss,Balanced,5,2
752,239,Belgian Jupiler Pro League ,Lierse SK,,,13,7
753,621,Scottish Premiership ,Livingston FC,Balanced,Long Ball,1,1
754,112505,Polish T-Mobile Ekstraklasa ,Mied\xc5\xba Legnica,Balanced,Balanced,1,1
755,112925,Argentina Primera División  ,Nueva Chicago,,,6,2
756,1456,Norwegian Eliteserien ,Odds BK,Press After Possession Loss,Balanced,7,2
757,110912,Italian Serie B ,Padova,Pressure On Heavy Touch,Balanced,5,1
758,112527,Colombian Liga Postobón ,Patriotas Boyac\xc3\xa1 FC,Pressure On Heavy Touch,Possession,5,4
759,111802,Italian Serie B ,Ravenna,,,6,3
760,1828,German 2. Bundesliga ,Rot-Wei\xc3\x9f Oberhausen,,,6,2
761,780,Austrian Football Bundesliga ,SV Ried,,,7,3
762,110694,German 3. Bundesliga ,SV Werder Bremen II,,,1,1
763,110149,Mexican Liga MX ,San Luis,,,6,7
764,112668,Chilian Campeonato Nacional ,San Luis de Quillota,Pressure On Heavy Touch,Balanced,3,1
765,111713,Argentina Primera División  ,San Mart\xc3\xadn de San Juan,Drop Back,Balanced,2,1
766,111114,International,Saudi Arabia,,,,4
767,324,Swiss Super League ,Servette FC,Balanced,Balanced,4,3
768,110714,Spanish Segunda División ,Sevilla Atl\xc3\xa9tico,,,1,1
769,917,Norwegian Eliteserien ,Stab\xc3\xa6k Fotball,Press After Possession Loss,Balanced,4,1
770,922,Norwegian Eliteserien ,Str\xc3\xb8msgodset IF,Press After Possession Loss,Balanced,8,1
771,570,Italian Serie B ,Ternana,,,4,1
772,110526,German 2. Bundesliga ,TuS Koblenz,,,5,2
773,112552,French Ligue 2 ,US Quevilly Rouen M\xc3\xa9tropole,,,1,1
774,1366,International,Ukraine,,,,14
775,112715,Colombian Liga Postobón ,Uni\xc3\xb3n Magdalena,Drop Back,Fast Build Up,3,1
776,203,Italian Serie B ,Urbs Reggina 1914 ,,,8,10
777,1719,Campeonato Brasileiro Série A ,Vit\xc3\xb3ria,Press After Possession Loss,Long Ball,4,2
778,665,Portuguese Liga ZON SAGRES ,Vit\xc3\xb3ria de Set\xc3\xbabal,Balanced,Long Ball,3,1
779,111968,Rep. Ireland Airtricity League ,Wexford Youths,,,1,1
780,180,Scottish Premiership ,Dundee FC,Balanced,Long Ball,3,1
781,147,English League Two ,Hereford,,,3,1
782,203,Italian Serie B ,Urbs Reggina 1914 ,,,8,10
783,112708,Chilian Campeonato Nacional ,AC Barnechea,,,4,2
784,113058,Saudi Abdul L. Jameel League ,Abha Club,Drop Back,Balanced,1,1
785,112990,Saudi Abdul L. Jameel League ,Al Batin,Balanced,Balanced,1,1
786,112389,Saudi Abdul L. Jameel League ,Al Faisaly,Drop Back,Fast Build Up,5,2
787,113222,Saudi Abdul L. Jameel League ,Al Hazem,Balanced,Long Ball,1,1
788,112883,Saudi Abdul L. Jameel League ,Al Khaleej,,,4,2
789,112676,Saudi Abdul L. Jameel League ,Al Nahdha Dammam,,,4,1
790,112675,Saudi Abdul L. Jameel League ,Al Orobah,,,8,1
791,112391,Saudi Abdul L. Jameel League ,Al Qadisiyah,Drop Back,Long Ball,2,1
792,112392,Saudi Abdul L. Jameel League ,Al Raed,Pressure On Heavy Touch,Long Ball,4,1
793,112407,Saudi Abdul L. Jameel League ,Al Shoulla,,,8,1
794,112393,Saudi Abdul L. Jameel League ,Al Taawoun,Balanced,Possession,5,4
795,112906,Japanese J. League Division 1 ,Albirex Niigata,,,4,1
796,112579,Colombian Liga Postobón ,Alianza Petrolera,Drop Back,Balanced,7,2
797,112992,Colombian Liga Postobón ,Atl\xc3\xa9tico Bucaramanga,Pressure On Heavy Touch,Balanced,2,1
798,112889,Turkish Süper Lig ,Bal\xc4\xb1kesirspor,,,6,5
799,112549,French Ligue 2 ,CA Bastia,,,4,1
800,112476,Campeonato Brasileiro Série A ,Chapecoense,Balanced,Long Ball,3,1
801,112713,Argentina Primera División  ,Club Atl\xc3\xa9tico Sarmiento,,,1,1
802,112904,Argentina Primera División  ,Club Atl\xc3\xa9tico Temperley,,,1,1
803,112709,Chilian Campeonato Nacional ,Club Deportes Temuco,Balanced,Possession,1,1
804,112909,Argentina Primera División  ,Crucero del Norte,,,4,1
805,113876,Swedish Allsvenskan ,Dalkurd FF,Balanced,Long Ball,1,1
806,113217,Saudi Abdul L. Jameel League ,Damac FC,Balanced,Balanced,1,1
807,112525,Colombian Liga Postobón ,Deportes Quind\xc3\xado,,,3,1
808,112586,Chilian Campeonato Nacional ,Deportivo San Marcos de Arica,,,6,2
809,112513,Portuguese Liga ZON SAGRES ,FC Arouca,,,4,1
810,113720,Danish Superliga ,FC Helsing\xc3\xb8r,,,1,1
811,112261,Russian Premier League ,FC Orenburg,,,1,1
812,112398,Italian Serie B ,FC Pro Vercelli 1892,,,4,1
813,113704,Russian Premier League ,FC Tosno,,,1,1
814,112424,Danish Superliga ,FC Vestsj\xc3\xa6lland,,,7,3
815,112834,Colombian Liga Postobón ,Fortaleza CEIF,,,1,1
816,112281,Italian Serie B ,Gubbio,,,1,7
817,112394,Saudi Abdul L. Jameel League ,Hajer,,,7,1
818,112970,Colombian Liga Postobón ,Itag\xc3\xbc\xc3\xad Leones FC,Balanced,Balanced,1,1
819,113459,Norwegian Eliteserien ,Kristiansund BK,Pressure On Heavy Touch,Balanced,3,1
820,112487,Italian Serie B ,Latina,,,4,1
821,112395,Saudi Abdul L. Jameel League ,Najran SC,,,11,2
822,112282,Italian Serie B ,Nocera Inferiore,,,1,7
823,113219,Saudi Abdul L. Jameel League ,Ohod Club,Balanced,Long Ball,1,1
824,112345,Japanese J. League Division 1 ,Omiya Ardija,,,2,1
825,112958,Turkish Süper Lig ,Osmanl\xc4\xb1spor,,,5,1
826,112578,Colombian Liga Postobón ,Rionegro \xc3\x81guilas,Drop Back,Balanced,5,3
827,112508,Polish T-Mobile Ekstraklasa ,Sandecja Nowy S\xc4\x85cz,,,1,1
828,112374,Norwegian Eliteserien ,Sandnes Ulf,,,6,2
829,113378,Romanian Liga I ,Sepsi OSK,Balanced,Balanced,5,2
830,112558,Korean K League Classic ,Suwon FC,,,1,1
831,112267,Swedish Allsvenskan ,Syrianska,,,7,5
832,112968,Colombian Liga Postobón ,Tigres FC,,,1,1
833,113216,Spanish Segunda División ,UCAM Murcia CF,,,1,1
834,112902,Spanish Segunda División ,UE Llagostera,,,3,2
835,112830,Colombian Liga Postobón ,Uniaut\xc3\xb3noma FC,,,3,1
836,112517,Portuguese Liga ZON SAGRES ,Uni\xc3\xa3o da Madeira,,,5,3
837,112237,Italian Serie B ,Varese,,,5,9
838,113162,Japanese J. League Division 1 ,Ventforet Kofu,,,2,1
839,112954,Italian Serie B ,Vicenza,,,5,1
840,111989,French Ligue 2 ,AC Arles Avignon,,,6,7
841,111340,Turkish Süper Lig ,Akhisar Belediyespor,Balanced,Balanced,5,2
842,111717,Argentina Primera División  ,All Boys,,,5,1
843,111704,Campeonato Brasileiro Série A ,Am\xc3\xa9rica de Natal,,,8,1
844,111965,Rep. Ireland Airtricity League ,Athlone Town,,,9,1
845,111812,Czech Republic Gambrinus Liga ,Bohemians 1905,,,11,3
846,111985,Czech Republic Gambrinus Liga ,Bohemians Praha,,,3,2
847,112019,Colombian Liga Postobón ,Boyac\xc3\xa1 Chic\xc3\xb3 FC,Drop Back,Fast Build Up,1,1
848,112232,Turkish Süper Lig ,Bucaspor,,,5,2
849,111827,Spanish Segunda División ,CD Guadalajara,,,3,7
850,111984,Portuguese Liga ZON SAGRES ,CD Trofense,,,2,1
851,111666,Mexican Liga MX ,CF Indios,,,5,3
852,111769,Chinese Super League ,Changchun Yatai FC,Drop Back,Fast Build Up,3,2
853,111715,Argentina Primera División  ,Club Atl\xc3\xa9tico Tigre,Balanced,Long Ball,4,3
854,111810,Spanish Segunda División ,Club Polideportivo Granada 74,,,5,1
855,111932,Rep. Ireland Airtricity League ,Cobh Ramblers,,,4,1
856,111988,Turkish Süper Lig ,Eski\xc5\x9fehirspor,,,14,9
857,111271,French Ligue 2 ,\xc3\x89vian Thonon Gaillard FC,,,10,10
858,112236,Czech Republic Gambrinus Liga ,FC Hradec Kr\xc3\xa1lov\xc3\xa9,,,5,2
859,111264,Russian Premier League ,FC Ural Yekaterinburg,,,5,2
860,111374,Czech Republic Gambrinus Liga ,FK SIAD Most,,,6,2
861,112235,Czech Republic Gambrinus Liga ,FK \xc3\x9ast\xc3\xad nad Labem,,,4,1
862,112169,Swedish Allsvenskan ,Falkenbergs FF,Balanced,Long Ball,1,1
863,111594,Swedish Allsvenskan ,GAIS,,,15,5
864,112107,Italian Serie B ,Gallipoli,,,2,1
865,111277,Swedish Allsvenskan ,Gefle IF,,,3,1
866,112078,Australian Hyundai A-League ,Gold Coast United,,,10,2
867,111206,Scottish Premiership ,Gretna,,,5,2
868,112077,Campeonato Brasileiro Série A ,Gr\xc3\xaamio Barueri,,,3,1
869,111929,Campeonato Brasileiro Série A ,Ipatinga,,,6,1
870,112130,Swedish Allsvenskan ,J\xc3\xb6nk\xc3\xb6pings S\xc3\xb6dra IF,,,1,1
871,112122,Turkish Süper Lig ,Kardemir Karab\xc3\xbckspor,,,2,1
872,111654,Mexican Liga MX ,Leones Negros de la UdeG,,,8,3
873,111285,Rep. Ireland Airtricity League ,Limerick FC,Pressure On Heavy Touch,Long Ball,2,1
874,111959,Swedish Allsvenskan ,Ljungskile SK,,,8,1
875,111433,Italian Serie B ,Mantova,,,6,4
876,112072,Swedish Allsvenskan ,Mj\xc3\xa4llby AIF,,,8,5
877,112079,Australian Hyundai A-League ,North Queensland Fury FC,,,10,2
878,112225,Italian Serie B ,Novara,,,7,2
879,111429,Polish T-Mobile Ekstraklasa ,Polonia Bytom,,,5,1
880,112231,Italian Serie B ,Portogruaro Calcio ASD,,,2,1
881,111292,Campeonato Brasileiro Série A ,Portuguesa de Desportos,,,9,3
882,112110,Chilian Campeonato Nacional ,Rangers de Talca,,,11,1
883,112200,Norwegian Eliteserien ,Ranheim Fotball,Balanced,Balanced,2,1
884,111432,Italian Serie B ,Rimini,,,6,2
885,111540,Portuguese Liga ZON SAGRES ,SC Olhanense,,,6,8
886,111373,Austrian Football Bundesliga ,SC Wiener Neustadt,,,9,5
887,111720,Czech Republic Gambrinus Liga ,SK Kladno,,,4,2
888,112020,Italian Serie B ,SS Virtus Lanciano,,,5,3
889,112022,Austrian Football Bundesliga ,SV Gr\xc3\xb6dig,,,6,3
890,111714,Argentina Primera División  ,San Martin de Tucum\xc3\xa1n,Drop Back,Balanced,1,1
891,111293,Campeonato Brasileiro Série A ,Santo Andr\xc3\xa9,,,4,1
892,111266,Russian Premier League ,Sibir Novosibirsk,,,9,5
893,111967,Rep. Ireland Airtricity League ,Sporting Fingal,,,8,1
894,111376,French Ligue 2 ,US Boulogne Cote D\'Opale,,,6,7
895,111377,French Ligue 2 ,Vannes OC,,,3,1
896,112237,Italian Serie B ,Varese,,,5,9
897,111660,Danish Superliga ,Vendsyssel FF,Press After Possession Loss,Long Ball,1,1
898,112217,Russian Premier League ,Volga Nizhny Novgorod,,,10,12
899,111089,Polish T-Mobile Ekstraklasa ,Zag\xc5\x82\xc4\x99bie Sosnowiec,Drop Back,Balanced,2,1
900,110306,Belgian Jupiler Pro League ,AFC Tubize,,,6,1
901,110230,Russian Premier League ,Alaniya Vladikavkaz,,,9,7
902,110907,Italian Serie B ,Arezzo,,,5,5
903,101116,Mexican Liga MX ,Atlante,,,12,7
904,110392,Argentina Primera División  ,Atl\xc3\xa9tico de Rafaela,,,2,1
905,110464,Czech Republic Gambrinus Liga ,Ban\xc3\xadk Ostrava,,,18,7
906,111022,Argentina Primera División  ,Belgrano de C\xc3\xb3rdoba,Drop Back,Long Ball,5,4
907,110701,Spanish Segunda División ,Bilbao Athletic,,,2,2
908,110833,Spanish Segunda División ,CD Alcoyano,,,5,7
909,110979,Chilian Campeonato Nacional ,CD Cobreloa,,,14,3
910,110364,Italian Serie B ,Catania,,,12,13
911,110915,Italian Serie B ,Cesena,Constant Pressure,Long Ball,4,2
912,110405,Argentina Primera División  ,Chacarita Juniors,,,2,3
913,111070,USA Major League Soccer ,Chivas USA,,,12,5
914,110398,Argentina Primera División  ,Club Olimpo,,,3,1
915,111050,Campeonato Brasileiro Série A ,Clube N\xc3\xa1utico Capibaribe,,,7,4
916,111044,Campeonato Brasileiro Série A ,Coritiba,,,6,3
917,111046,Campeonato Brasileiro Série B ,Crici\xc3\xbama,,,2,1
918,111032,Mexican Liga MX ,Dorados de Sinaloa,,,3,2
919,110471,Czech Republic Gambrinus Liga ,Dynamo \xc4\x8cesk\xc3\xa9 Bud\xc4\x9bjovice,,,6,2
920,110780,Mexican Liga MX ,Estudiantes Tecos,,,9,7
921,110239,Russian Premier League ,FC Khimki,,,10,4
922,110318,French Ligue 2 ,FC Libourne-Saint-Seurin,,,1,3
923,110229,Russian Premier League ,FC Moskva,,,14,8
924,110822,Russian Premier League ,FC Ufa,,,5,1
925,110596,German 2. Bundesliga ,FSV Frankfurt,,,6,5
926,111045,Campeonato Brasileiro Série A ,Figueirense,,,4,2
927,110576,French Ligue 2 ,Football Bourg En Bresse Peronnas 01,,,1,1
928,110744,Polish T-Mobile Ekstraklasa ,GKS Be\xc5\x82chat\xc3\xb3w,,,6,3
929,111049,Campeonato Brasileiro Série A ,Guarani,,,9,2
930,110565,Polish T-Mobile Ekstraklasa ,G\xc3\xb3rnik \xc5\x81\xc4\x99czna,,,3,1
931,110775,Turkish Süper Lig ,Hacettepe SK,,,10,2
932,110151,Mexican Liga MX ,Jaguares de Chiapas,,,7,8
933,111054,Campeonato Brasileiro Série B ,Joinville,,,2,1
934,111041,Campeonato Brasileiro Série B ,Juventude,,,11,3
935,101032,Turkish Süper Lig ,Kocaelispor,,,10,4
936,110089,Russian Premier League ,Kuban Krasnodar,,,13,11
937,110935,South African Premier Division ,Mamelodi Sundowns FC,,,15,1
938,101035,Turkish Süper Lig ,Manisaspor,,,9,3
939,101036,Turkish Süper Lig ,Mersin \xc4\xb0dman Yurdu,,,9,8
940,110472,Czech Republic Gambrinus Liga ,Mlad\xc3\xa1 Boleslav,,,13,5
941,110106,Russian Premier League ,Mordovia Saransk,,,5,4
942,111048,Campeonato Brasileiro Série A ,Paran\xc3\xa1,Balanced,Balanced,4,1
943,110581,Argentina Primera División  ,Patronato,Press After Possession Loss,Long Ball,3,1
944,111087,Polish T-Mobile Ekstraklasa ,Podbeskidzie Bielsko-Bia\xc5\x82a,,,7,3
945,111043,Campeonato Brasileiro Série A ,Ponte Preta,,,3,2
946,110554,Argentina Primera División  ,Quilmes Atl\xc3\xa9tico Club,,,2,2
947,110242,Spanish Segunda División ,Racing de Ferrol,,,5,3
948,110710,Spanish Segunda División ,Real Madrid Castilla,,,7,4
949,110101,Russian Premier League ,SKA Khabarovsk,,,1,1
950,111058,Campeonato Brasileiro Série A ,Santa Cruz,,,1,1
951,110976,Chilian Campeonato Nacional ,Santiago Wanderers,,,5,2
952,110225,Russian Premier League ,Saturn Ramenskoye,,,8,3
953,110082,International,Serbia,,,,13
954,110103,Russian Premier League ,Spartak Nalchik,,,10,13
955,111057,Campeonato Brasileiro Série A ,Sport Club do Recife,Balanced,Possession,2,3
956,110466,Czech Republic Gambrinus Liga ,Tescoma Zl\xc3\xadn,,,6,2
957,110326,French Ligue 2 ,Tours FC,,,3,1
958,110465,Czech Republic Gambrinus Liga ,Viktoria \xc5\xbdi\xc5\xbekov,,,7,5
959,110902,Spanish Segunda División ,Villarreal CF B,,,5,10
960,100149,Czech Republic Gambrinus Liga ,1. FC Slov\xc3\xa1cko,,,8,2
961,100145,Czech Republic Gambrinus Liga ,1. FK P\xc5\x99\xc3\xadbram,,,6,2
962,1826,German 2. Bundesliga ,Alemannia Aachen,,,9,9
963,1872,Spanish Segunda División ,Alicante CF,,,4,3
964,1840,Italian Serie B ,Ancona,,,5,3
965,101008,Turkish Süper Lig ,Ankaraspor,,,12,4
966,1901,Portuguese Liga ZON SAGRES ,Associa\xc3\xa7\xc3\xa3o Acad\xc3\xa9mica de Coimbra,,,14,7
967,2038,Italian Serie B ,Avellino,Balanced,Long Ball,2,1
968,1964,English League Two ,Boston United,,,5,2
969,100852,Spanish Segunda División ,C.D. Castell\xc3\xb3n,,,9,6
970,1857,Spanish Segunda División ,C.P. Ejido,,,6,5
971,15021,Spanish Segunda División ,CE Sabadell FC,,,6,6
972,2057,Spanish Segunda División ,CF Ciudad de Murcia,,,6,5
973,1924,English League Two ,Chesterfield,,,7,1
974,15012,Spanish Segunda División ,Cultural Leonesa,,,1,1
975,1957,English League Two ,Darlington,,,3,2
976,101018,Turkish Süper Lig ,Diyarbak\xc4\xb1rspor,,,10,1
977,1971,Holland Eredivisie ,Excelsior,Drop Back,Fast Build Up,2,1
978,100851,Spanish Segunda División ,FC Cartagena,,,7,7
979,100626,Holland Eredivisie ,FC Dordrecht,,,3,3
980,10023,Swiss Challenge League ,FC La Chaux-de-Fonds,,,6,1
981,1862,Swiss Super League ,FC Lausanne-Sport,,,3,1
982,8001,Belgian Jupiler Pro League ,FC Molenbeek Brussels,,,12,6
983,100741,Portuguese Liga ZON SAGRES ,FC Penafiel,,,6,1
984,100424,German 3. Bundesliga ,FC Rot-Wei\xc3\x9f Erfurt,,,3,1
985,100994,Swiss Super League ,FC Schaffhausen,,,12,4
986,100142,Czech Republic Gambrinus Liga ,FK Baumit Jablonec,,,12,6
987,2041,Norwegian Eliteserien ,Fredrikstad FK,,,12,6
988,100632,Holland Eredivisie ,Go Ahead Eagles,,,3,1
989,1941,English League Two ,Hartlepool United,,,4,1
990,100879,Spanish Segunda División ,H\xc3\xa9rcules CF,,,10,10
991,1841,Norwegian Eliteserien ,H\xc3\xb8nefoss BK,,,5,2
992,15011,Austrian Football Bundesliga ,KSV 1919,,,10,6
993,1950,German 2. Bundesliga ,Kickers Offenbach,,,6,4
994,101032,Turkish Süper Lig ,Kocaelispor,,,10,4
995,100764,Russian Premier League ,Krylya Sovetov Samara,,,5,2
996,10018,Portuguese Liga ZON SAGRES ,Leix\xc3\xb5es SC,,,5,2
997,2015,Austrian Football Bundesliga ,Liebherr GAK,,,18,8
998,2026,Spanish Segunda División ,Lorca FC,,,1,1
999,1845,Italian Serie B ,Messina,,,10,7
1000,1910,Holland Eredivisie ,NEC Nijmegen,,,5,1
1001,100737,Portuguese Liga ZON SAGRES ,Naval 1\xc2\xb0 de Maio,,,7,2
1002,100087,Belgian Jupiler Pro League ,Oud-Heverlee Leuven,,,8,6
1003,1855,Spanish Segunda División ,Real Murcia Club de F\xc3\xbatbol,,,10,9
1004,100882,Spanish Segunda División ,Real Uni\xc3\xb3n Club Ir\xc3\xban,,,10,4
1005,1902,Holland Eredivisie ,Roda JC Kerkrade,,,4,1
1006,1834,German 2. Bundesliga ,Rot-Wei\xc3\x9f Ahlen,,,4,2
1007,1897,Portuguese Liga ZON SAGRES ,SC Beira Mar,,,7,8
1008,1838,Italian Serie B ,Siena,,,9,13
1009,100143,Czech Republic Gambrinus Liga ,Slovan Liberec,,,16,8
1010,1931,English League Two ,Stockport County,,,4,2
1011,100768,Russian Premier League ,Torpedo Moscow,,,12,7
1012,1946,English League Two ,Torquay United,,,3,1
1013,2021,Italian Serie B ,Treviso,,,6,4
1014,1839,Italian Serie B ,Triestina,,,6,4
1015,2044,Italian Serie B ,UC AlbinoLeffe,,,5,9
1016,1856,Spanish Segunda División ,UD Salamanca,,,8,4
1017,100947,Spanish Segunda División ,UD Vecindario,,,4,3
1018,1895,Portuguese Liga ZON SAGRES ,Uni\xc3\xa3o de Leiria,,,9,10
1019,1947,English League Two ,Wrexham,,,2,2
1020,241,Spain Primera Division ,FC Barcelona,Pressure On Heavy Touch,Possession,10,10
1021,11,English Premier League ,Manchester United,Press After Possession Loss,Balanced,10,10
1022,5,English Premier League ,Chelsea,Press After Possession Loss,Possession,9,9
1023,243,Spain Primera Division ,Real Madrid,Pressure On Heavy Touch,Possession,10,10
1024,1,English Premier League ,Arsenal,Press After Possession Loss,Possession,8,8
1025,9,English Premier League ,Liverpool,Press After Possession Loss,Balanced,9,8
